Channel,Avg. Viewers,Time Streamed,All-Time Peak Viewers,Hours Watched,Followers Gained,Total Followers,Total Views
Pieface23,6477,115.5,17033,748104,28126,486330,7027638
Mathil1,4454,214.8,28388,956558,-749,318983,46164345
TFBlade,5383,150.0,53026,807650,-8810,1113533,82405895
녹두로,5472,152.6,22726,835028,278,218926,24186665
C_a_k_e,4742,176.9,34112,839098,-16545,318288,76485994
RRaenee,8533,48.5,20426,413741,25601,212839,5826390
loud_babi,7267,83.2,46251,604682,60622,1101106,6084377
Lily_Off_Valley,9492,16.9,17893,160063,60205,194535,5444398
ElcanaldeJoaco,8509,48.5,132019,412827,23401,1297002,12434567
Pokemon,6122,70.6,130432,431840,4055,422670,33223776
Rakin,4962,169.5,52992,840872,2622,1422933,82502570
接接,5060,162.0,23192,819475,-3370,340322,132347616
ZeROBADASS,5196,159.7,10752,829517,46019,328069,3888637
LVPes2,6943,78.3,94398,543707,9907,252464,54875751
TheRelixChannel,6700,45.8,29208,306650,4750,24544,6614483
StRoGo,7125,70.3,45087,500917,30049,480619,15693482
xth0rek,6020,117.4,13015,706618,10038,179147,7301262
supertf,5074,169.8,12125,861263,9894,318557,9493541
Subroza,6411,97.2,12336,622911,19061,346480,8422091
daltoosh,4947,176.3,16445,872042,18809,399317,10147602
Arcadum,5496,144.5,19790,794134,26957,233165,9853402
RebeuDeter,9245,33.1,25808,305573,22836,340363,4509676
Teuf,8182,52.9,23702,432828,12432,198093,7293039
CodeMiko,6271,97.9,20682,613715,48878,676779,8712741
EFEUYGAC,8929,33.8,15022,301417,45738,470257,6723211
RocketStreetLive,8231,52.0,51956,428300,17504,124126,3365423
Llobeti4,4933,145.8,36212,718991,46832,1295957,27740916
ClassyBeef,2717,431.5,38669,1172569,-3727,152083,12685528
GTAWiseGuy,4599,185.8,12938,854415,18863,153848,5820806
얍얍,4962,157.4,35476,781235,-3610,312994,75161125
Zade,3956,197.1,14228,779518,15757,210994,11431866
NoraExplorer,5113,159.1,26204,813287,41681,67776,1437533
kkatamina,5930,113.6,24214,673520,33013,240431,4527630
safemoonprotocol,10641,7.3,48774,77885,33882,37260,270858
GronkhTV,1781,710.7,14220,1266041,6812,324025,12784957
Fortnite,10374,11.0,700529,114020,7674,4155072,91517507
akaNemsko,3542,209.6,27044,742266,69310,249117,21470782
Funspark_CSGO,4452,182.8,47596,813741,39685,52511,2915132
zedef,10251,12.6,26533,128595,30497,409689,1696841
VooDooSh,5216,147.8,15724,771007,-10543,106663,22150168
Xiuder_,3759,245.5,17448,922868,39684,590392,13577578
cidcidoso,6201,95.5,37948,592347,15986,342814,10199757
MoMaN,3812,229.0,162696,872792,17413,450323,28763111
JrokezFTW,5634,110.4,15324,622092,15203,500408,20374157
PlayHard,6235,94.0,26628,586033,106370,525858,6904872
BruceDropEmOff,6969,78.5,13909,546944,10320,194169,3266654
PAGO3,5092,117.2,20284,596636,11864,536614,58124343
BattlestateGames,9169,25.4,57246,232373,9445,356227,4177073
hannahxxrose,6320,91.1,50937,575650,136899,738178,3743426
eldemente,6868,72.8,51264,500196,75598,1240804,9736802
Dota2RuHub,4708,145.0,236164,682678,-26568,853922,294167648
ChilledChaos,5954,111.8,23613,665441,1275,335046,6719896
JesusAVGN,5885,105.9,41690,623052,-2551,837449,52379245
dopa24,5880,101.5,44307,596667,19561,528996,11503687
Mushway,4612,168.9,13832,779063,10987,429297,8490767
Jinnytty,3712,235.8,19573,875050,-9975,565787,43676095
mitr0,9424,15.7,38328,147767,43409,818040,7553153
Picco,4358,196.8,14230,857734,21600,50377,1507516
플러리,4191,194.9,12495,816658,4297,189675,31594104
adeptthebest,2746,354.7,17118,974141,32145,393070,8633680
다주,4017,202.8,19191,814847,2701,251691,17849286
쌍베,5200,125.7,31421,653779,-1557,197234,39041726
TEBtv,3505,234.1,32608,820417,16079,159604,26338850
